Título;Ano;Nota IMDb;Gênero;País de Origem;Idioma;;;;;
Surf II;1983;5,3;Comedy;United States;English;;;;;
The Devonsville Terror;1983;4,9;Horror;United States;English;;;;;
State buoni se potete;1983;8;Comedy, Drama, History;Italy;Italian;;;;;
Colegialas lesbianas y el placer de pervertir;1983;5,3;Comedy;Spain;Spanish;;;;;
The Girl Who Leapt Through Time;1983;6,5;Romance, SciFi;Japan;Japanese;;;;;
Katha;1983;7,7;Comedy, Drama;India;Hindi;;;;;
The Prodigal Planet;1983;4,5;Dystopian SciFi, SciFi, Thriller;United States;English;;;;;
Blue Skies Again;1983;5,3;Baseball, Comedy, Sport;United States;English;;;;;
White Snake Enchantment;1983;6,1;Drama, Romance, Thriller;Japan;Japanese;;;;;
The Boys in Blue;1983;4,5;Comedy, Family;United Kingdom;English;;;;;
The Muppets Take Manhattan;1984;6,8;Animal Adventure, Adventure, Comedy, Drama, Family, Musical, Romance;United States;English;;;;;
Falling in Love;1984;6,5;Drama, Romance;United States;English;;;;;
Hard to Hold;1984;4,9;Comedy, Drama, Music, Romance;United States;English;;;;;
The Company of Wolves;1984;6,6;Body Horror, Dark Comedy, Dark Fantasy, Werewolf Horror, Drama, Fantasy, Horror;United Kingdom;English;;;;;
Garbo Talks;1984;6,4;Comedy, Drama;United States;English;;;;;
The Times of Harvey Milk;1984;8,2;History Documentary, Biography, Documentary, History;United States;English;;;;;
Fear City;1984;5,7;Crime, Drama, Mystery, Thriller;United States;English;;;;;
El siniestro doctor Orloff;1984;4,9;Horror;Spain;Spanish, French;;;;;
The Wild Beasts;1984;5,5;Horror;Italy;English;;;;;
Marynia;1984;6,6;Drama;Poland;Polish;;;;;
Parasite;2019;8,5;Dark Comedy, Korean Drama, Psychological Thriller, Tragedy, Drama, Thriller;South Korea;Korean, English;;;;;
Extreme Job;2019;7,1;Slapstick, Comedy, Crime;South Korea;Korean, Mandarin;;;;;
The Assistant;2019;6,4;Workplace Drama, Drama;United States;English, Mandarin, Spanish;;;;;
Between Me and My Mind;2019;7,6;Documentary;United States;English;;;;;
Patterns of Evidence: Moses Controversy;2019;6,7;Faith  Spirituality Documentary, Documentary;United States;;;;;;
Matthias & Maxime;2019;6,8;Drama, Romance;Canada, France;French, English;;;;;
Killerman;2019;5,4;Action, Thriller;United States;English;;;;;
The Climb;2019;6,7;Comedy, Drama;United States;English, French;;;;;
The Zoya Factor;2019;4,4;Comedy, Drama, Romance, Sport;India;Hindi;;;;;
About Endlessness;2019;6,8;Comedy, Drama, Fantasy;Sweden, Germany, Norway, France;Swedish;;;;;
Midnight Traveler;2019;7,6;Documentary, War;Qatar, United Kingdom, Canada, United States;Persian, English, Turkish, Bulgarian;;;;;
The Death of Dick Long;2019;6,4;True Crime, Comedy, Crime, Drama;United States;English;;;;;
Redoubt;2019;6,7;Drama;United States;English, None;;;;;
Our Ladies;2019;6,7;Comedy, Drama;United Kingdom;English;;;;;
Round of Your Life;2019;4,9;Family, Sport;United States;English;;;;;
Evergreen;2019;7,3;Drama;United States;English;;;;;
Dodgeball: A True Underdog Story;2004;6,7;Parody, Slapstick, Comedy, Sport;Germany, United States;English, German;;;;;
The Aviator;2004;7,5;Docudrama, Epic, Period Drama, Biography, Drama;United States, Germany;English, Persian;;;;;
NASCAR: The IMAX Experience;2004;6,9;Documentary, Sport;United States, Canada;English;;;;;
Thérèse: The Story of Saint Thérèse of Lisieux;2004;6,3;Biography, Drama, Family, History;United States;English;;;;;
Look What's Happened Now;2004;4,3;Comedy, Drama, Romance;India;Hindi;;;;;
Stateside;2004;5,8;Drama, Music, Romance;Germany, United States;English;;;;;
The Other Side of the Street;2004;6,7;Crime, Drama, Mystery, Thriller;Brazil, France;Portuguese;;;;;
The PianoTuner of EarthQuakes;2004;6,2;Animation, Drama, Family, Fantasy, Music, Mystery, Romance;United Kingdom, France, Germany, United States;English, Portuguese;;;;;
White Rainbow;2004;7,6;Drama;India;English, Hindi;;;;;
Canary;2004;6,9;Drama;Japan;Japanese;;;;;
If Only;2004;7;Comedy, Drama, Fantasy, Romance;United States, United Kingdom;English;;;;;
The Last Trapper;2004;7;Adventure, Documentary, Drama, Family;France, Canada, Switzerland, Germany, Italy;English, French;;;;;
The Halfway House;2004;4,3;Comedy, Horror;United States;English;;;;;
Mr. Sardonicus;1961;6,6;Drama, Horror, Mystery;United States;English;;;;;
Barabbas;1961;6,9;Biography, Drama, History;Italy, United States;English;;;;;
Hand in Hand;1961;7,4;Drama, Family;United Kingdom;English, Latin, Hebrew;;;;;
Five Minutes to Live;1961;5,4;Crime, Drama, Music, Thriller;United States;English;;;;;
I Like Money;1961;6,1;Comedy, Drama;United Kingdom;English;;;;;
Two Half-Times in Hell;1961;7,9;Drama, Sport, War;Hungary;Hungarian, German;;;;;
The Dead One;1961;3,4;Zombie Horror, Horror;United States;English;;;;;
The Secret Partner;1961;6,6;Cop Drama, Workplace Drama, Crime, Drama, Mystery, Thriller;United Kingdom;English;;;;;
The Sin of Mona Kent;1961;5,9;Drama;United States;English;;;;;
The Season for Love;1961;6;Comedy, Drama, Romance;France;French;;;;;
Miyamoto Musashi;1961;7,1;Action, Drama, History;Japan;Japanese;;;;;
Sanjog;1961;5,9;Comedy, Drama, Romance;India;Hindi, Urdu, English, Punjabi;;;;;
Part-Time Wife;1961;5,2;Comedy;United Kingdom;English;;;;;
Live Free or Die Hard;2007;7,1;Cyber Thriller, OnePerson Army Action, Action, Thriller;United States, United Kingdom;English, Italian, French;;;;;
Enchanted;2007;7,1;Fairy Tale, FeelGood Romance, HandDrawn Animation, Pop Musical, Romantic Comedy, Adventure, Animation, Comedy, Family, Fantasy;United States, Algeria, New Zealand;English;;;;;
The Orphanage;2007;7,4;Supernatural Horror, Tragedy, Drama, Horror, Mystery, Thriller;Spain, Mexico, France, Belgium;Spanish;;;;;
Love in the Time of Cholera;2007;6,4;Drama, Romance;United States, Mexico, United Kingdom, Colombia;English;;;;;
Ladrón que roba a ladrón;2007;6,6;Action, Adventure, Comedy, Crime, Fantasy, Romance, Western;United States;Spanish;;;;;
The Duchess of Langeais;2007;6,5;Period Drama, Drama, Music, Romance;France, Italy;French, Spanish;;;;;
My Father My Lord;2007;6,8;Drama;Israel;Hebrew;;;;;
Bon Voyage, Charlie Brown (and Don't Come Back!!);1980;7,1;HandDrawn Animation, Adventure, Animation, Comedy, Family, Mystery;United States;English, French;;;;;
Breaking Glass;1980;6,8;Drama, Musical;United Kingdom;English;;;;;
Mother's Day;1980;5,3;Dark Comedy, Satire, Slasher Horror, Comedy, Horror, Thriller;United States;English;;;;;
Cannibals in the Streets;1980;5,5;BHorror, Drama, Fantasy, Horror, Thriller;Italy, Spain;Italian, Spanish;;;;;
Who's Singin' Over There?;1980;8,7;Adventure, Comedy, Drama, War;Yugoslavia;SerboCroatian;;;;;
The Under-Gifted;1980;6,5;Comedy;France;French, English;;;;;
Flatfoot in Egypt;1980;6,1;Action, Comedy, Crime, Drama;Italy;Italian, German;;;;;
Sweet William;1980;5,3;Drama, Romance;United Kingdom;English;;;;;
Beyond Terror;1980;5,5;Crime, Horror;Spain, Mexico;Spanish;;;;;
Le Guignolo;1980;5,9;Action, Comedy;France, Italy;French, Italian;;;;;
Kung Fu Panda 4;2024;6,3;Animal Adventure, Computer Animation, Action, Adventure, Animation, Comedy, Family, Fantasy;United States, China, Japan;Mandarin, Chinese, English;;;;;
Terrifier 3;2024;6,4;Dark Comedy, Slasher Horror, Splatter Horror, Supernatural Horror, Teen Horror, Holiday, Horror;United States;English;;;;;
Arthur the King;2024;7;Extreme Sport, Adventure, Drama, Sport;United States, Canada;English;;;;;
MaXXXine;2024;6,3;Serial Killer, Slasher Horror, Crime, Horror;United States, United Kingdom, New Zealand;English;;;;;
The Roundup: Punishment;2024;6,6;Action, Crime, Thriller;South Korea;Korean;;;;;
A Fragile Flower;2024;4,4;Drama, Music, Romance;Vietnam, United States;Vietnamese;;;;;
Nightbitch;2024;5,7;Body Horror, Dark Comedy, Comedy, Horror;United States;English;;;;;
The Last Journey;2024;8;Documentary;Sweden;Swedish;;;;;
The Soul Eater;2024;5,9;Crime, Horror, Mystery, Thriller;France, Belgium;French;;;;;
Doc Hollywood;1991;6,3;Comedy, Drama, Romance;United States;English;;;;;
Pure Luck;1991;5,8;Comedy, Crime, Mystery;United States;English, Spanish;;;;;
My Own Private Idaho;1991;7;ComingofAge, Road Trip, Drama;United States;English, Italian, German;;;;;
My Heroes Have Always Been Cowboys;1991;6,3;Contemporary Western, Drama, Western;United States;English;;;;;
A Brief History of Time;1991;7,3;Science  Technology Documentary, Biography, Documentary;United Kingdom, Japan, United States;English;;;;;
Married to It;1991;5,9;Comedy, Drama;United States;English;;;;;
The Indian Runner;1991;6,9;Drama;Japan, United States;English;;;;;
Mission: Killfast;1991;3,5;Action, Adventure;United States;English;;;;;
The Stranger;1991;8;Drama;India, France;Bengali, English;;;;;
She-Devil;1989;5,7;Dark Comedy, Satire, Comedy;United States;English, French;;;;;
We're No Angels;1989;6,1;Satire, Comedy, Crime;United States;English, French, Latin, Croatian;;;;;
The Gods Must Be Crazy II;1989;6,8;Comedy;South Africa, Botswana, United States;Afrikaans, English, Ungwatsi;;;;;
Cookie;1989;5,4;Comedy, Crime;United States;English;;;;;
Cage;1989;4,9;Action, Drama;United States;English;;;;;
Race for Glory;1989;5,7;Action;United States;English;;;;;
Dr. Alien;1989;4,8;Comedy, SciFi;United States;English;;;;;
The Dead Pit;1989;5,3;BHorror, Supernatural Horror, Horror;United States;English;;;;;
Meet the Hollowheads;1989;5,3;Dark Comedy, Parody, Comedy, Horror, SciFi;United States;English;;;;;
Madame;1989;7,7;Drama;Turkey;Turkish;;;;;
Sukkubus;1989;6;Folk Horror, Drama, Fantasy, Horror, Mystery, Thriller;West Germany;German;;;;;
Hard to Be a God;1989;6,4;Adventure, Drama, SciFi;West Germany, France, Soviet Union, Switzerland;German;;;;;
The Misadventures of Mr. Wilt;1989;6,1;Comedy, Crime;United Kingdom;English;;;;;
Stripped to Kill 2: Live Girls;1989;4;Dark Comedy, Comedy, Horror, Thriller;United States;English;;;;;
Eat Pray Love;2010;5,8;Biography, Drama, Romance;United States;English, Italian, Portuguese;;;;;
Greenberg;2010;6,1;Comedy, Drama, Romance;United States;English;;;;;
Flipped;2010;7,7;FeelGood Romance, Comedy, Drama, Romance;United States;English;;;;;
Deadly Renovations;2010;2,8;Horror, Thriller;United States;English;;;;;
Outside the Law;2010;6,6;Crime, Drama, War;France, Algeria, Belgium, Tunisia, Italy;French, Arabic, English;;;;;
Ceremony;2010;5,4;Comedy, Romance;United States;English;;;;;
Windtalkers;2002;6,1;War Epic, Action, Drama, War;United States;English, Navajo, Japanese;;;;;
Adaptation.;2002;7,7;Dark Comedy, HighConcept Comedy, Psychological Drama, Satire, Showbiz Drama, Comedy, Drama;United States;English, Latin;;;;;
Empire;2002;5,9;Crime, Drama, Thriller;United States;English, Spanish;;;;;
Nicholas Nickleby;2002;7,1;Period Drama, Adventure, Drama, Romance;United Kingdom, United States;English;;;;;
Joshua;2002;6,6;Drama;United States;English;;;;;
Welcome to Collinwood;2002;6,3;Caper, Heist, Comedy, Crime;United States, Germany;English;;;;;
Stevie;2002;7,8;Documentary;United States;English;;;;;
Crazy as Hell;2002;5,8;Drama, Thriller;United States;English;;;;;
Balseros;2002;7,2;Documentary;Spain;Spanish, English;;;;;
Défense d'aimer;2002;5,4;Drama;France;French, English, Italian;;;;;
Up in Smoke;1978;6,9;Road Trip, Stoner Comedy, Comedy, Music;United States;English, Spanish;;;;;
The Wiz;1978;5,6;Pop Musical, Adventure, Family, Fantasy, Musical;United States;English;;;;;
The Buddy Holly Story;1978;7,2;Biography, Drama, Music;United States;English;;;;;
Gray Lady Down;1978;6,2;Adventure, Drama, History, Thriller;United States;English, Norwegian;;;;;
Nighthawks;1978;6,2;Drama;United Kingdom, West Germany;English;;;;;
The Pyjama Girl Case;1978;6;Giallo, Crime, Horror, Mystery, Thriller;Italy, Spain;Italian;;;;;
Stingray;1978;5,6;Action, Comedy, Crime;United States;English;;;;;
The War of the Robots;1978;2,7;Adventure, SciFi;Italy;Italian;;;;;
Liebesgr�ße aus der Lederhose 4: Die versaute Hochzeitsnacht;1978;4,6;Comedy;West Germany;;;;;;
La escopeta nacional;1978;7,3;Comedy;Spain;Spanish, Catalan;;;;;
Little Girl in Blue Velvet;1978;5,7;Drama, Romance, War;France;English;;;;;
Mirror, Mirror;1978;6,5;Comedy, Drama;Denmark;Danish;;;;;
Sultan;1978;7,5;Comedy, Romance;Turkey;Turkish;;;;;
Heaven Sword and Dragon Sabre;1978;5,8;Action, Drama;Hong Kong;Cantonese, Mandarin;;;;;
Operasjon Cobra;1978;6;Adventure, Crime, Drama;Norway;Norwegian;;;;;
King Kong vs. Godzilla;1963;5,7;Dinosaur Adventure, Disaster, Kaiju, Quirky Comedy, Satire, Supernatural Fantasy, Urban Adventure, Action, Adventure, Comedy;Japan, United States;English;;;;;
Mondo Cane 2;1963;5,8;Documentary, Horror;Italy;Italian;;;;;
The Sadist;1963;6,6;Horror, Thriller;United States;English;;;;;
Ladies Who Do;1963;6,9;Comedy;United Kingdom;English;;;;;
The Basilisks;1963;7,2;Drama;Italy;Italian;;;;;
Kiss;1963;5;Documentary, Drama;United States;;;;;;
Goliath and the Rebel Slave;1963;5,3;Adventure, Drama, Fantasy, History;Italy, France;Italian;;;;;
Bussen;1963;6,2;Comedy, Family, Romance;Denmark;Danish;;;;;
Kanto Wanderer;1963;6,8;Action, Crime, Drama;Japan;Japanese;;;;;
Bin Badal Barsaat;1963;5,7;Drama, Musical, Mystery, Romance;India;Hindi;;;;;
Death Rides a Horse;1967;7;Spaghetti Western, Drama, Western;Italy;Italian, Spanish;;;;;
The Trip;1967;6,1;Drama;United States;English;;;;;
Woman Times Seven;1967;5,8;Comedy, Drama;Italy, France, United States;English, French, Italian, Japanese;;;;;
Hoor My Lied;1967;6,6;Drama, Musical;South Africa;Afrikaans, English;;;;;
Wedding in Malinovka;1967;7,3;Comedy, Musical, War;Soviet Union;Russian;;;;;
Japanese Erotica: Five Films on Love and Sex from the Japanese Underground of the Experimental Cinema;1967;;;Japan, United States;Japanese;;;;;
Mannequin;1987;6;HighConcept Comedy, Romantic Comedy, Comedy, Fantasy, Romance;United States, United Kingdom;English;;;;;
The Pick-up Artist;1987;5,4;Comedy, Crime, Drama, Romance;United States;English;;;;;
Near Dark;1987;6,9;Contemporary Western, Dark Comedy, Vampire Horror, Horror;United States;English;;;;;
Wings of Desire;1987;7,9;Drama, Fantasy, Romance;West Germany, France;German, English, French, Turkish, Hebrew, Spanish, Japanese;;;;;
Prison;1987;5,8;Supernatural Horror, Tragedy, Crime, Drama, Horror, Thriller;United States;English;;;;;
Cherry 2000;1987;5,6;Action, Adventure, Comedy, Romance, SciFi;United States;English;;;;;
Backfire;1987;5,4;Drama, Mystery, Thriller;United States, Canada, United Kingdom;English;;;;;
Miracle Down Under;1987;7,1;Drama, Family;Australia;English;;;;;
My Dreams, My Love and You;1987;7,3;Drama, Fantasy, Romance;Turkey;Turkish;;;;;
A Taxing Woman;1987;7,3;Comedy, Crime;Japan;Japanese;;;;;
Open House;1987;4,1;Slasher Horror, Horror, Thriller;United States;English;;;;;
Pratighaat;1987;7,1;Action, Crime, Drama;India;Hindi;;;;;
The Puppetoon Movie;1987;7,1;Stop Motion Animation, Animation, Family;United States;English;;;;;
Pocahontas;1995;6,7;HandDrawn Animation, Period Drama, Pop Musical, Adventure, Animation, Drama, Family, Musical, Romance;United States, Japan;English, Algonquin;;;;;
Casino;1995;8,2;Docudrama, Epic, Gangster, True Crime, Crime, Drama;United States, France;English;;;;;
Wings of Courage;1995;6,3;Adventure, Romance;France, United States;English;;;;;
Hideaway;1995;5,3;Psychological Horror, Psychological Thriller, Slasher Horror, Fantasy, Horror, Thriller;United States, Canada;English;;;;;
French Twist;1995;6,4;Comedy, Drama, Romance;France;French, Spanish, English;;;;;
Party Girl;1995;6,5;Comedy, Drama, Romance;United States;English, Arabic;;;;;
La haine;1995;8,1;Gangster, Psychological Drama, Crime, Drama;France;French, Yiddish;;;;;
The Blade;1995;7;Martial Arts, Wuxia, Action;Hong Kong, China;Cantonese;;;;;
Dodgeball;1995;5,5;Comedy;United States;English;;;;;
Les trois frères;1995;7,2;Comedy;France;French;;;;;
Geronimo;1962;5,8;Action, Biography, Drama, History, Western;United States;English;;;;;
Big Red;1962;6,3;Adventure, Drama, Family;Canada, United States;French, English;;;;;
Santo vs. the Vampire Women;1962;3,9;Superhero, Action, Horror;Mexico;Spanish;;;;;
Careless;1962;7,1;Drama, Romance;Italy, France;Italian;;;;;
Éducation sentimentale;1962;5,9;Drama, Romance;France, Italy;French;;;;;
Gusarskaya ballada;1962;7,4;Comedy, Musical, War;Soviet Union;Russian;;;;;
The Broken Land;1962;5,1;Western;United States;English;;;;;
Swordsman of Siena;1962;5,8;Swashbuckler, Adventure, Romance;Italy, France;Italian;;;;;
Die Fledermaus;1962;5,8;Comedy, Musical;Austria;German;;;;;
Whitney Houston: I Wanna Dance with Somebody;2022;6,6;Docudrama, Showbiz Drama, Biography, Drama, Music;United States;English;;;;;
Studio 666;2022;5,6;Dark Comedy, Comedy, Horror, Music;United States;English;;;;;
Aftersun;2022;7,6;ComingofAge, Teen Drama, Drama;United Kingdom, United States, Turkey, Philippines, Netherlands;English, Turkish, Spanish;;;;;
F3: Fun and Frustration;2022;4,7;Comedy, Family, Romance;India;Telugu;;;;;
The Roundup;2022;7;Martial Arts, Action, Crime, Thriller;South Korea;Korean;;;;;
Leonor Will Never Die;2022;6,6;Action, Comedy, Drama;Philippines;Tagalog, Filipino;;;;;
2nd Chance;2022;6,8;Documentary;;;;;;;
Carp-e Diem;2022;6,6;Comedy, Crime;United States;English;;;;;
Texas Chainsaw Massacre;2022;4,7;Serial Killer, Slasher Horror, Crime, Horror, Thriller;United States;English;;;;;
The Judas Project;1990;3,7;Action, Drama, Fantasy;United States;English;;;;;
Def by Temptation;1990;5,2;Horror;United States;English;;;;;
Dreams;1990;7,7;Costume Drama, Dark Fantasy, Period Drama, Psychological Drama, Supernatural Fantasy, Drama, Fantasy;Japan, United States;Japanese, French, English;;;;;
Coupe de Ville;1990;6,7;Comedy, Drama;United States;English;;;;;
Bad Girls from Mars;1990;3,6;Parody, Comedy;United States;English;;;;;
Sheela Meri Jaan;1990;6,4;Thriller;India;Hindi;;;;;
Thodasa Roomani Ho Jaayen;1990;7,5;Comedy, Drama, Musical;India;Hindi;;;;;
Anjali;1990;8,2;Drama;India;Tamil;;;;;
Temptation Summary;1990;5,8;Comedy;Hong Kong;Cantonese;;;;;
World Trade Center;2006;6;Disaster, Docudrama, Drama, History, Thriller;Germany, United States;English;;;;;
Glory Road;2006;7,2;Basketball, Biography, Drama, Sport;United States;English;;;;;
Lady in the Water;2006;5,5;Dark Fantasy, Drama, Fantasy, Mystery, Thriller;United States;English;;;;;
Man of the Year;2006;6,2;Political Drama, Satire, Comedy, Drama, Romance, Thriller;United States;English;;;;;
An Inconvenient Truth;2006;7,4;Science  Technology Documentary, Documentary;United States;English;;;;;
The Night Listener;2006;5,9;Psychological Thriller, Crime, Drama, Horror, Mystery, Thriller;United States;English;;;;;
The Abandoned;2006;5,5;Horror, Mystery, Thriller;Spain, United Kingdom, Bulgaria;English, Russian;;;;;
The U.S. vs. John Lennon;2006;7,3;Music Documentary, Biography, Documentary, Music, Romance;United States;English;;;;;
Days of Glory;2006;7;Drama, War;Algeria, France, Morocco, Belgium;French, Arabic;;;;;
The Journals of Knud Rasmussen;2006;6,4;Drama;Canada, Denmark, Greenland;Inuktitut, English, Danish;;;;;
Iraq in Fragments;2006;7,1;Documentary, War;United States;Kurdish, Arabic;;;;;
La faute à Fidel!;2006;7,5;Drama;Italy, France;French;;;;;
In Between Days;2006;6,4;Drama;Canada, South Korea, United States;Korean, English;;;;;
Summer '04;2006;6,4;Drama;Germany;German;;;;;
Airport;1970;6,6;Dark Comedy, Disaster, Action, Drama, Thriller;United States;English, Italian;;;;;
Kelly's Heroes;1970;7,6;Adventure, Comedy, War;Yugoslavia, United States;English, French, German;;;;;
Count Dracula;1970;5,6;Vampire Horror, Drama, Horror;Spain, West Germany, Italy, Liechtenstein, United Kingdom;English, Spanish, Italian, German;;;;;
The Forbidden Photos of a Lady Above Suspicion;1970;6,2;Giallo, Psychological Thriller, Horror, Mystery, Thriller;Italy, Spain;Italian;;;;;
Borsalino;1970;6,8;Crime, Drama;France, Italy;French, Italian, German;;;;;
The Confession;1970;7,8;Drama, Thriller;France, Italy;French, Spanish;;;;;
Scream and Scream Again;1970;5,5;Crime, Drama, Horror, Mystery, SciFi, Thriller;United Kingdom;English;;;;;
Fruit of Paradise;1970;6,7;Dark Comedy, Drama;Czechoslovakia, Belgium;Czech;;;;;
Oddly Coupled;1970;4,8;Comedy;United States;English;;;;;
Roll Bounce;2005;6,2;Comedy, Drama, Music, Romance;United States;English;;;;;
Casa de Areia;2005;7,3;Drama;Brazil;Portuguese;;;;;
The Wendell Baker Story;2005;5,5;Parody, Comedy, Drama, Romance;Germany, United States;English, Spanish;;;;;
13 Tzameti;2005;7,3;Crime, Drama, Thriller;France;French, Georgian, German;;;;;
Ek Khiladi Ek Haseena;2005;5,7;Crime, Thriller;India;Hindi;;;;;
La petite Jérusalem;2005;6,5;Drama;France;French, Arabic, Hebrew;;;;;
The Last Dispatch;2005;7,8;Biography, Documentary, Music;United States;English;;;;;
Hair;1979;7,5;Political Drama, Rock Musical, Satire, Comedy, Drama, Musical, Romance, War;West Germany, United States;English;;;;;
Walk Proud;1979;5,4;Drama;United States;English;;;;;
An Almost Perfect Affair;1979;5,3;Comedy, Romance;United States;English;;;;;
Beyond the Darkness;1979;6,2;Body Horror, Slasher Horror, Horror;Italy;Italian;;;;;
Cocaine Cowboys;1979;4,4;Crime, Drama;United States;English;;;;;
Rape Climax: Skinning;1979;4,8;Drama, Horror;Japan;Japanese;;;;;
Can You Be with 5 Girls at Once?;1979;5,8;Comedy, Romance;Spain;Spanish;;;;;
Blue Bird;1979;6;Adventure, Drama, Family, Western;East Germany;German;;;;;
Ode to My Father;2014;7,8;Drama, War;South Korea;Korean, English, German, Vietnamese;;;;;
Land Ho!;2014;6;Adventure, Comedy;Iceland, United States;English;;;;;
Merchants of Doubt;2014;7,6;Documentary;United States;English;;;;;
An Honest Liar;2014;7,4;Biography, Comedy, Documentary, History;United States, United Kingdom;English;;;;;
To Be Takei;2014;6,9;Biography, Documentary;United States;English;;;;;
Queen & Country;2014;6,2;Biography, Comedy, Drama, History;Ireland, France, United Kingdom, Romania;English;;;;;
Benji;1974;6,1;Animal Adventure, Adventure, Family, Romance;United States;English;;;;;
His Mother's House;1974;4,9;Drama, Romance;Norway;Norwegian;;;;;
Alice in the Cities;1974;7,8;Road Trip, Drama;West Germany;German, English, Dutch;;;;;
The Cars That Ate Paris;1974;5,6;Comedy, Horror, SciFi;Australia;English;;;;;
The Night of the Sorcerers;1974;5,1;Adventure, Drama, Horror, Mystery;Spain;English, Spanish;;;;;
The Body;1974;5,2;Drama, Thriller;Italy, Trinidad and Tobago;Italian;;;;;
Majboor;1974;7,1;Drama, Mystery, Thriller;India;Hindi;;;;;
Notting Hill;1999;7,2;FeelGood Romance, Romantic Comedy, Satire, Showbiz Drama, Comedy, Drama, Romance;United Kingdom, United States;English, Spanish, French;;;;;
Dick;1999;6,2;Buddy Comedy, Dark Comedy, Teen Comedy, Comedy;United States, Canada, France;English;;;;;
Hello Brother;1999;4,7;Action, Comedy, Fantasy, Romance;India;Hindi;;;;;
Whiteboyz;1999;5,4;Comedy, Drama;France, United States;English;;;;;
Bolivia;1999;7,2;Drama;Argentina, Netherlands;Spanish;;;;;
Gendernauts: A Journey Through Shifting Identities;1999;6,5;Documentary;United States, Germany;English;;;;;
Between Your Legs;1999;6,2;Erotic Thriller, Drama, Mystery, Romance, Thriller;Spain, France;Spanish;;;;;
I Like to Play Games Too;1999;4,9;Erotic Thriller, Drama, Romance, Thriller;United States;English;;;;;
Clouds of May;1999;7,3;Drama;Turkey;Turkish;;;;;
Taxi Driver;1976;8,2;Psychological Drama, Crime, Drama;United States;English, Spanish;;;;;
A Real Young Girl;1976;5,3;Drama;France;French;;;;;
Madam Kitty;1976;5,4;Drama, War;Italy, France, West Germany;Italian, German;;;;;
The Message;1976;8,1;Action Epic, Historical Epic, Biography, Drama, History, War;Libya;Arabic, English;;;;;
The Cassandra Crossing;1976;6,3;Conspiracy Thriller, Drama, Thriller;United Kingdom, Italy, West Germany, United States;English, French, Swedish, German, Italian, Polish;;;;;
Casanova;1976;7;Biography, Drama, History, Romance;Italy;Italian, French, German, English, Czech, Latin, Hungarian, Neapolitan;;;;;
Pure as a Lily;1976;4,6;Comedy, Crime;Italy, United Kingdom;Italian, English;;;;;
The Strange Hostel of Naked Pleasures;1976;4,7;Horror;Brazil;Portuguese;;;;;
The Desert of the Tartars;1976;7,5;Drama, History, War;Italy, France, West Germany;Italian;;;;;
Mehbooba;1976;6,5;Drama, Romance;India;Hindi;;;;;
Le grand soir;1976;6,5;Drama;Switzerland, France;French;;;;;
Hope Floats;1998;6;Drama, Romance;United States;English;;;;;
What Dreams May Come;1998;7;Drama, Fantasy, Romance;New Zealand, United States;English;;;;;
Living Out Loud;1998;6,5;Comedy, Drama, Romance;United States;English;;;;;
Smoke Signals;1998;7,2;Buddy Comedy, ComingofAge, Quirky Comedy, Road Trip, Comedy, Drama;United States, Canada;English;;;;;
Autumn Tale;1998;7,4;Comedy, Drama, Romance;France;French;;;;;
Kurt & Courtney;1998;6,1;Biography, Crime, Documentary, Music;United Kingdom;English;;;;;
The Last Days;1998;7,9;Documentary, War;United States;English, German, Hungarian;;;;;
Just a Little Harmless Sex;1998;4,9;Comedy, Romance;United States;English;;;;;
The Second Wife;1998;5,9;Comedy, Romance;Italy;Italian;;;;;
Die Hard Dracula;1998;1,8;Comedy, Horror;United States;English;;;;;
Ground Control;1998;5,7;Action, Adventure, Drama, Thriller;United States;English;;;;;
Dear Santa;1998;3;Comedy, Family, Fantasy;United States;English;;;;;
Some Nudity Required;1998;5,4;Documentary;United States;English;;;;;
Maharaja;1998;4,2;Action, Adventure, Comedy, Drama, Family, Fantasy, Romance;India;Hindi;;;;;
Three Amigos!;1986;6,5;Farce, HighConcept Comedy, Showbiz Drama, Slapstick, Comedy, Western;United States;English, Spanish, German;;;;;
Nothing in Common;1986;5,9;Comedy, Drama, Romance;United States;English;;;;;
Armed and Dangerous;1986;5,7;Slapstick, Action, Comedy, Crime;United States;English;;;;;
Psycho III;1986;5,5;Slasher Horror, Horror, Mystery, Thriller;United States;English;;;;;
A Fine Mess;1986;4,7;Action, Comedy, Crime, Romance;United States;English;;;;;
Mona Lisa;1986;7,3;Tragedy, Crime, Drama, Romance, Thriller;United Kingdom;English;;;;;
Dragon Ball: Curse of the Blood Rubies;1986;6,7;Adult Animation, Anime, Superhero, Action, Adventure, Animation, Comedy, Fantasy, SciFi;Japan;Japanese;;;;;
Perfect Timing;1986;5,5;Comedy;Canada;English;;;;;
Project A-Ko;1986;6,8;Anime, Parody, Superhero, Action, Adventure, Animation, Comedy, SciFi;Japan;Japanese;;;;;
A Judgment in Stone;1986;5,3;Horror, Thriller;Canada, United Kingdom;English;;;;;
The Lone Ranger;2013;6,4;Desert Adventure, Period Drama, Action, Adventure, Drama, Western;United States;English, North American Indian;;;;;
The Smurfs 2;2013;5,3;Adventure, Animation, Comedy, Family, Fantasy;United States, France, Canada, Belgium;English, French;;;;;
A Good Day to Die Hard;2013;5,2;Action, Thriller;United States, United Kingdom, Hungary;English;;;;;
