ID_Filme;title;rating;release_date;countries_origin;genres;languages
19037;The Visitors;70;sábado, 7 de dezembro de 1996;France;Satire, Comedy, Fantasy;French, German, English
19095;Dior and I;72;domingo, 4 de outubro de 2015;France;Documentary;French, English, Italian
19146;Marie's Story;75;quinta-feira, 11 de dezembro de 2014;France;Biography, Drama;French, Sign Languages
19158;Elevator to the Gallows;79;quinta-feira, 2 de janeiro de 1958;France;Crime, Drama, Thriller;French, German
19163;Life and Nothing But;75;sexta-feira, 9 de junho de 1989;France;Drama, War;French, German
19197;Let My People Go!;59;sexta-feira, 1 de novembro de 2013;France;Comedy, Romance;French, Finnish, English, Hebrew
19479;The Inner Scar;66;quarta-feira, 2 de fevereiro de 1972;France;Drama, Fantasy, Music;English, German, French
19831;The Alibi;67;segunda-feira, 4 de setembro de 1939;France;Crime;French, German, English
19866;Eastern Boys;69;terça-feira, 4 de fevereiro de 2014;France;Crime, Drama, Romance, Thriller;French, Russian, English
19888;The Horseman on the Roof;70;sábado, 10 de junho de 1995;France;Period Drama, Adventure, Drama, Romance, War;French, Italian
20059;Clean Slate;73;sábado, 11 de abril de 1981;France;Dark Comedy, Comedy, Crime, Drama;French, English
20085;Koko: A Talking Gorilla;72;quinta-feira, 12 de abril de 1979;France;Documentary;French, English
20359;Latcho Drom;81;domingo, 3 de abril de 1994;France;Documentary, Music;French, Romany, Turkish, Slovak, Rajasthani, Hungarian, Arabic, Spanish
20621;Deadly Circuit;69;sábado, 3 de setembro de 1983;France;Dark Comedy, Crime, Mystery, Romance, Thriller;French, Italian, English, German
20831;Float Like a Butterfly, Sting Like a Bee;76;quarta-feira, 4 de setembro de 1974;France;Biography, Documentary, Sport;French, English
21152;BelphÃ©gor;77;domingo, 2 de outubro de 1927;France;Fantasy;None, French
21277;13 Tzameti;73;quarta-feira, 2 de agosto de 2006;France;Crime, Drama, Thriller;French, Georgian, German
21278;Jo;71;sábado, 9 de janeiro de 1971;France;Comedy, Crime, Thriller;French, English
21322;Renoir;65;sexta-feira, 1 de fevereiro de 2013;France;Period Drama, Biography, Drama, History, Romance;French, Italian
21855;Pasteur;56;segunda-feira, 5 de novembro de 1923;France;Documentary, Drama;None, French
21992;Le manoir de la peur;66;domingo, 6 de março de 1927;France;Crime, Mystery;None
22049;Cuties;36;quarta-feira, 9 de setembro de 2020;France;Teen Drama, Drama;French, Wolof, Arabic, Spanish, English
22265;VÃ©nus;61;terça-feira, 10 de dezembro de 1929;France;Comedy, Romance;French, English
22305;Aladdin & The Magic Lamp;61;terça-feira, 7 de janeiro de 1975;France;Adventure, Animation, Family, Fantasy, Musical;French, English
22315;Jane by Charlotte;66;quinta-feira, 1 de dezembro de 2022;France;Biography, Documentary, Music;Italian, Japanese, Chinese, French, English
22524;The Rabbi's Cat;71;quinta-feira, 6 de janeiro de 2011;France;Adventure, Animation, Comedy, Fantasy;French, Russian, Hebrew
22785;Emmanuelle 5;32;quarta-feira, 1 de julho de 1987;France;Action, Drama;French, English
22846;Cold Water;70;terça-feira, 7 de junho de 1994;France;Coming-of-Age, Period Drama, Teen Drama, Drama;French, Hungarian, English
22864;Le parfum de la dame en noir;61;segunda-feira, 12 de outubro de 1981;France;Crime, Drama;English, French
23033;Le p'tit Parigot;66;terça-feira, 10 de agosto de 1926;France;Drama, Sport;sem languages
23088;PÃ©pÃ© le Moko;77;segunda-feira, 3 de março de 1941;France;Crime, Drama, Romance;French, Arabic, English
23155;Point Blank;68;terça-feira, 12 de janeiro de 2010;France;Action, Crime, Drama, Thriller;French, Spanish, Czech
23182;Massoud, l'Afghan;79;sábado, 12 de setembro de 1998;France;Documentary, History, War;French, Pashtu, English, Russian
23434;Man Is a Woman;61;terça-feira, 3 de novembro de 1998;France;Comedy, Music, Romance;French, Yiddish, English
23440;Mr. Freedom;64;sexta-feira, 1 de agosto de 1969;France;Dark Comedy, Parody, Satire, Comedy, Crime;English, French, Japanese
23442;Rififi;81;domingo, 6 de maio de 1956;France;Heist, Crime, Drama, Thriller;French, Italian
23680;Son crime;0;sábado, 1 de janeiro de 1921;France;Crime;None, French
23706;Impasse des deux anges;66;quarta-feira, 10 de março de 1948;France;Crime, Drama;English, French
23791;The Patriots;73;quinta-feira, 6 de janeiro de 1994;France;Drama, Thriller;French, English, Hebrew
24195;Django;64;quinta-feira, 2 de agosto de 2018;France;Biography, Drama, Music, War;French, German, English, Romany
148;The Island;62;segunda-feira, 8 de outubro de 2018;China;Comedy, Drama;Mandarin, English, French, Japanese, German, Spanish
274;Goodbye, Dragon Inn;71;sexta-feira, 12 de dezembro de 2003;Taiwan;Comedy, Drama;Mandarin, Min Nan, Japanese
323;Le tonnerre de Dieu;66;segunda-feira, 9 de agosto de 1965;France, Italy, West Germany;Comedy, Drama;French, Latin
843;Bata bata paano ka ginawa?;74;quarta-feira, 9 de setembro de 1998;Philippines;Comedy, Drama;English, Filipino, Tagalog
855;The Flower of My Secret;70;sábado, 3 de agosto de 1996;Spain, France;Comedy, Drama;Spanish, French
868;The Apprenticeship of Duddy Kravitz;67;segunda-feira, 4 de novembro de 1974;Canada;Comedy, Drama;Hebrew, Yiddish, English
874;Career Girls;71;sexta-feira, 8 de agosto de 1997;United Kingdom, France;Comedy, Drama;English, German
877;Do Not Expect Too Much from the End of the World;74;terça-feira, 5 de março de 2024;Romania, Luxembourg, France, Croatia, Switzerland, United Kingdom, Canada;Comedy, Drama;Romanian, English, German, Hungarian, Italian
885;Monsieur Ibrahim;73;sábado, 4 de setembro de 2004;France;Comedy, Drama;French, Turkish
1030;Secrets of Women;70;terça-feira, 7 de novembro de 1961;Sweden;Comedy, Drama;Swedish, French
1397;Free Zone;57;terça-feira, 4 de julho de 2006;Israel, Belgium, France, Spain;Comedy, Drama;English, Hebrew, Arabic, Spanish
1635;A Very Curious Girl;69;quarta-feira, 12 de março de 1969;France;Comedy, Drama;Latin, Spanish, French
1685;Polis Paulus' pÃ¥skasmÃ¤ll;55;quinta-feira, 4 de junho de 1925;Sweden;Comedy, Drama;Swedish, German, English
1772;My Piece of the Pie;58;segunda-feira, 12 de setembro de 2011;France;Comedy, Drama;French, English
2040;Struck by Lightning;62;sexta-feira, 1 de novembro de 2013;United States, Mexico;Comedy, Drama;English, Spanish
2044;France;59;terça-feira, 12 de outubro de 2021;France, Germany, Italy, Belgium;Comedy, Drama;French, English, German
2049;Eroica;73;domingo, 2 de janeiro de 1966;Poland;Comedy, Drama;Polish, German
2083;102 Not Out;74;quinta-feira, 5 de abril de 2018;India, United States;Comedy, Drama;Hindi
2154;Hassan, Terrorist;79;quarta-feira, 5 de maio de 1976;Algeria;Comedy, Drama;Arabic
2211;Rodora;0;domingo, 8 de julho de 1956;Philippines;Comedy, Drama;Tagalog, Filipino
2550;Half Brothers;61;domingo, 12 de abril de 2020;Mexico, United States;Comedy, Drama;English, Spanish
2955;Mrs;67;quarta-feira, 2 de julho de 2025;India, United States;Comedy, Drama;Hindi, English
2982;Party;64;sábado, 10 de fevereiro de 1996;Portugal, France;Comedy, Drama;Portuguese, French
3634;O erotas tou Odyssea;54;domingo, 10 de junho de 1984;Greece;Comedy, Drama;Greek
